cliente,n_operaciones,n_vigentes,monto_total,saldo_total,plazo_prom,tasa_prom,patrimonio_tec,max_dias_mora,oficina,tipo_credito,garantia,sexo,calificacion_riesgo,antiguedad_max_dias,dias_hasta_ultimo_venc,riesgo_actual
53074,2,2,30000,11989.52,54.0,14.49,100668.0,0,5,CONSUMO,PERSONAL,F,A1,1302,592,0
53196,2,2,23000,12411.150000000001,48.0,11.844999999999999,27951.0,0,1,CONSUMO,HIPOTECA,F,A1,1189,814,0
53713,2,2,2950,2479.44,1104.5,14.0,4000.0,0,7,CONSUMO,DPF,F,A1,464,673,0
53905,2,2,12500,9544.779999999999,44.5,14.440000000000001,55857.8,0,4,CONSUMO,PERSONAL,M,A1,569,1359,0
54098,2,2,7500,5328.0599999999995,39.0,16.5,6617.0,0,4,CONSUMO,PERSONAL,F,A1,897,831,0
54626,2,2,35000,17514.45,43.0,15.489999999999998,104363.92,0,10,CONSUMO,PERSONAL,F,A1,1387,694,0
55052,2,2,20700,17827.37,72.0,14.440000000000001,28111.0,0,1,CONSUMO,PERSONAL,M,A1,643,1923,0
55173,2,2,88500,83007.81,99.5,12.745000000000001,42500.0,0,1,INMOBILIARIO,HIPOTECA,F,A1,708,4131,0
55336,2,2,43400,30360.170000000002,84.0,15.09,67310.0,0,1,CONSUMO,HIPOTECA,F,A1,1249,2242,0
55548,2,2,17650,14964.189999999999,48.0,14.54,93650.0,0,7,CONSUMO,PERSONAL,M,A1,335,1170,0
55789,2,2,39100,28400.73,115.5,12.344999999999999,95480.0,1,1,CONSUMO,HIPOTECA,M,A1,1381,3001,1
55840,2,2,28000,3126.54,42.0,17.595,49683.5,0,3,MICROCRÉDITO,HIPOTECA,M,A1,1384,156,0
55913,2,2,50000,42788.740000000005,102.0,11.844999999999999,122980.0,0,4,CONSUMO,HIPOTECA,M,A1,1188,3195,0
56021,2,2,29000,26703.5,72.0,16.495,31459.0,0,1,CONSUMO,PERSONAL,M,A1,383,2044,0
56523,2,2,35000,19239.96,84.0,15.19,42116.0,0,1,CONSUMO,PERSONAL,F,A1,306,2413,0
56559,2,2,78000,62195.84,90.0,12.395,62366.0,0,6,CONSUMO,HIPOTECA,M,A1,988,2017,0
56685,2,2,20000,14056.2,60.5,14.49,26218.0,0,3,CONSUMO,PERSONAL,M,A1,1122,1678,0
56726,2,2,49000,42394.310000000005,102.0,12.49,69005.0,0,1,CONSUMO,HIPOTECA,F,A1,537,4247,0
56779,2,1,23800,17087.7,72.5,14.99,30000.0,72,1,CONSUMO,HIPOTECA,F,A1,1231,2378,1
57390,2,2,18000,8296.49,52.0,15.245000000000001,16582.59,9,7,CONSUMO,PERSONAL,M,A1,1423,810,1
57576,2,2,19500,16372.460000000001,54.0,16.22,45550.0,0,7,CONSUMO,PERSONAL,M,A1,470,1364,0
57717,2,2,18500,11016.55,36.0,16.65,59792.0,0,4,MICROCRÉDITO,PERSONAL,M,A1,590,694,0
58102,2,2,8500,6810.43,2.5,15.745000000000001,20674.0,0,4,CONSUMO,PERSONAL,M,A1,251,484,0
58140,2,2,7400,4066.81,30.0,15.945,13252.0,0,6,CONSUMO,PERSONAL,F,A1,660,968,0
58369,2,2,35000,31116.030000000002,54.0,14.59,92337.0,0,2,CONSUMO,PERSONAL,M,A1,276,1597,0
58773,2,2,3500,3284.61,12.5,15.19,17057.39,0,4,CONSUMO,PERSONAL,M,A1,90,642,0
58841,2,2,9600,4952.56,27.0,14.440000000000001,40112.0,0,4,CONSUMO,PERSONAL,M,A1,580,516,0
59009,2,2,8000,7701.4,30.0,15.19,125500.0,0,4,CONSUMO,PERSONAL,F,A1,117,1344,0
59148,2,2,15500,13947.81,42.5,14.54,40502.03,0,4,CONSUMO,PERSONAL,M,A1,329,1514,0
59374,3,3,17500,5911.34,45.666666666666664,14.796666666666667,148541.0,0,4,CONSUMO,PERSONAL,F,A1,1065,581,0
59496,2,2,8500,2231.59,42.0,14.99,17150.0,0,1,CONSUMO,PERSONAL,M,A1,1329,411,0
59594,2,2,4000,4000.0,249.5,15.0,20000.0,0,1,CONSUMO,DPF,F,A1,237,26,0
59856,2,2,40000,35760.67,114.0,12.745000000000001,53568.0,0,3,CONSUMO,HIPOTECA,F,A1,947,4174,0
60081,2,2,30000,17614.23,54.5,17.6,135549.33,11,3,MICROCRÉDITO,PERSONAL,M,A2,895,1055,1
60195,2,2,30700,28905.25,84.0,15.344999999999999,26489.0,0,1,CONSUMO,PERSONAL,F,A1,748,2393,0
60344,2,2,18500,13144.76,39.0,14.945,48493.0,12,3,CONSUMO,PERSONAL,M,A1,743,1084,1
60671,2,2,22000,15766.59,56.0,16.395,37360.0,0,3,CONSUMO,PERSONAL,M,A1,525,1622,0
60820,2,2,3900,1918.27,24.0,15.45,10000.0,0,6,CONSUMO,DPF,F,A1,743,353,0
60848,3,3,31000,23933.78,9.333333333333334,11.196666666666667,43554.89,0,4,INMOBILIARIO,HIPOTECA,M,A1,887,1482,0
61075,2,2,15200,6713.46,33.0,15.445,118243.0,0,4,CONSUMO,PERSONAL,M,A1,1183,643,0
61092,2,2,15300,11558.029999999999,66.0,16.375,19919.0,26,6,CONSUMO,PERSONAL,F,A1,881,1313,1
61112,2,2,35000,32256.730000000003,60.0,14.495000000000001,36118.0,0,6,CONSUMO,PERSONAL,F,A1,341,1790,0
61189,2,2,50000,48022.59,72.0,15.945,45317.84,0,4,CONSUMO,PERSONAL,F,A1,481,2168,0
61194,2,2,16800,9571.880000000001,24.0,14.59,129243.0,0,1,CONSUMO,PERSONAL,M,A1,413,512,0
61243,2,2,42500,29159.149999999998,49.5,15.745000000000001,60000.0,0,4,CONSUMO,HIPOTECA,F,A1,1323,2108,0
61400,2,2,7200,5005.95,8.5,18.15,14349.0,0,3,MICROCRÉDITO,PERSONAL,M,A1,223,236,0
61468,2,2,12500,7311.3,107.5,16.5,30000.0,0,6,CONSUMO,DPF,M,A1,594,509,0
61753,2,2,30500,25536.58,60.0,14.49,9828.0,0,6,CONSUMO,PERSONAL,M,A1,641,1916,0
61787,2,2,35000,30103.86,35.5,14.745000000000001,796941.8,0,6,CONSUMO,PERSONAL,M,A1,555,1699,0
62025,2,2,17000,9729.060000000001,39.0,15.295,80720.0,0,6,CONSUMO,PERSONAL,M,A1,980,845,0
62319,3,3,2800,2800.0,379.3333333333333,15.0,48470.0,0,6,CONSUMO,DPF,M,A1,293,189,0
62389,2,2,25000,21174.48,30.0,15.75,61630.0,0,6,CONSUMO,PERSONAL,F,A1,783,1409,0
62966,2,2,35000,27689.68,73.0,13.825,78072.8,0,3,INMOBILIARIO,HIPOTECA,M,A1,807,3580,0
63408,2,2,1950,1433.54,8.0,14.495000000000001,10500.0,0,5,CONSUMO,DPF,F,A1,123,232,0
63550,2,2,17100,14309.919999999998,60.0,14.49,57869.0,0,4,CONSUMO,PERSONAL,M,A1,610,1951,0
